,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"9,083","7,705","8,450","7,236","5,899","6,347","8,953","9,957","7,153","6,505","9,758","17,340","14,514"
Expenses +,"8,384","7,035","7,595","6,449","5,380","5,874","8,310","8,794","6,369","6,032","9,264","15,778","12,976"
Operating Profit,699,670,855,787,519,473,644,"1,163",784,473,494,"1,561","1,538"
OPM %,8%,9%,10%,11%,9%,7%,7%,12%,11%,7%,5%,9%,11%
Other Income +,-26,174,96,99,139,128,-106,281,629,544,386,504,873
Interest,358,296,283,241,236,170,177,144,85,102,243,304,307
Depreciation,353,406,436,386,386,258,260,233,246,255,303,348,351
Profit before tax,-39,141,231,258,36,173,101,"1,067","1,082",661,334,"1,413","1,754"
Tax %,126%,31%,8%,31%,72%,12%,122%,39%,24%,33%,40%,20%,
Net Profit +,-92,98,214,179,10,153,-22,654,827,444,199,"1,136","1,490"
EPS in Rs,-2.67,2.79,2.62,5.72,1.00,5.97,-0.50,24.36,29.42,16.82,7.90,42.44,56.36
Dividend Payout %,-19%,18%,19%,9%,50%,8%,-100%,43%,17%,30%,63%,12%,
