,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,153,129,130,169,206,207,205,204,210,195,202,206,229
Expenses +,128,114,119,121,123,144,153,156,152,166,170,172,154
Operating Profit,25,15,11,48,83,63,52,48,58,29,32,33,74
OPM %,16%,11%,9%,28%,40%,30%,25%,23%,28%,15%,16%,16%,33%
Other Income +,6,6,9,9,10,13,12,12,14,15,19,16,17
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,5,5,5,4,4,4,4,4,4,4,4,3
Profit before tax,26,16,15,52,89,72,60,56,68,40,47,45,88
Tax %,30%,31%,26%,26%,24%,25%,26%,26%,24%,24%,29%,22%,26%
Net Profit +,18,11,11,38,68,54,45,41,52,30,33,35,65
EPS in Rs,6.83,4.02,4.12,14.32,25.27,20.01,16.65,15.43,19.47,11.28,12.35,13.06,24.19
Raw PDF,,,,,,,,,,,,,
