,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,33,78,243,298,250,313,364,490,641
Expenses +,195,131,213,258,210,446,330,410,491
Operating Profit,-162,-53,30,40,40,-133,34,80,151
OPM %,-499%,-68%,12%,14%,16%,-43%,9%,16%,23%
Other Income +,18,20,24,20,32,46,64,3,70
Interest,0,0,3,4,5,7,9,10,12
Depreciation,1,3,15,17,20,25,29,37,41
Profit before tax,-146,-37,35,39,47,-119,61,36,168
Tax %,0%,0%,27%,20%,-120%,2%,33%,44%,14%
Net Profit +,-146,-37,26,31,103,-121,40,20,145
EPS in Rs,-461.48,-107.09,48.39,63.43,258.07,-28.33,7.26,3.05,28.38
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
