Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"15,730","16,758","17,950","18,519","20,008","21,438","22,882","24,620","26,928","30,381","30,981","33,090"
Expenses+,"13,379","14,281","14,714","15,059","15,440","16,565","17,541","19,200","20,258","20,631","21,371","23,322"
Operating Profit,"2,351","2,478","3,236","3,460","4,569","4,873","5,341","5,420","6,669","9,749","9,610","9,768"
OPM %,15%,15%,18%,19%,23%,23%,23%,22%,25%,32%,31%,30%
Other Income+,"1,642","1,598","1,044",761,376,412,360,986,"1,672","1,899","2,571","3,704"
Interest,15,6,16,35,177,359,267,65,64,43,22,6
Depreciation,806,863,681,947,"1,024",998,"1,157","1,110","1,784","1,406","1,340","1,354"
Profit before tax,"3,173","3,207","3,583","3,240","3,742","3,928","4,277","5,231","6,493","10,199","10,820","12,112"
Tax %,25%,38%,27%,39%,37%,28%,24%,3%,10%,26%,23%,25%
Net Profit+,"2,388","1,998","2,616","1,987","2,346","2,832","3,239","5,086","5,811","7,595","8,317","9,076"
EPS in Rs,24.77,27.63,36.18,29.72,35.08,42.35,48.44,76.05,86.89,113.57,124.36,135.71
Dividend Payout %,20%,31%,31%,54%,28%,39%,31%,26%,32%,31%,32%,26%
