Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,581.83,200.76,255.74,263.78,317.30,494.94,306.99,200.27,57.85,21.45,15.90,25.79
Expenses+,111.47,83.79,100.32,118.29,239.21,88.60,174.22,51.35,35.78,31.54,23.72,22.14
Operating Profit,470.36,116.97,155.42,145.49,78.09,406.34,132.77,148.92,22.07,-10.09,-7.82,3.65
OPM %,80.84%,58.26%,60.77%,55.16%,24.61%,82.10%,43.25%,74.36%,38.15%,-47.04%,-49.18%,14.15%
Other Income+,2.67,0.46,0.53,0.37,0.30,0.08,0.71,1.78,0.39,0.23,0.18,4.89
Interest,0.00,0.00,0.00,0.00,27.25,0.20,0.22,0.14,0.11,0.11,0.09,0.03
Depreciation,4.38,2.22,1.96,1.92,1.75,9.89,3.80,3.48,3.10,1.59,1.23,0.75
Profit before tax,468.65,115.21,153.99,143.94,49.39,396.33,129.46,147.08,19.25,-11.56,-8.96,7.76
Tax %,16.58%,0.00%,0.00%,0.00%,0.00%,31.23%,23.36%,30.23%,27.90%,-2.77%,3.01%,23.97%
Net Profit+,390.94,115.21,154.00,143.94,49.39,272.55,99.23,102.62,13.87,-11.23,-9.22,5.90
EPS in Rs,14.67,4.31,5.76,5.36,1.83,10.11,2.88,2.97,0.40,-0.33,-0.27,0.17
Dividend Payout %,34.08%,83.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
