Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"10,782","12,474","14,072","14,841","17,364","19,703","19,853","19,926","22,663","27,234","28,056","28,765"
Interest,"8,310","9,307","10,231","11,144","12,892","14,784","14,453","14,177","16,186","18,391","19,532","19,775"
Expenses+,377,605,884,921,"1,082","1,569","1,997","2,945","2,866","2,725","1,575","1,798"
Financing Profit,"2,095","2,561","2,957","2,775","3,391","3,350","3,403","2,803","3,611","6,119","6,950","7,191"
Financing Margin %,19%,21%,21%,19%,20%,17%,17%,14%,16%,22%,25%,25%
Other Income+,16,12,8,0,0,-33,-5,28,12,1,0,7
Depreciation,9,10,9,10,12,48,49,52,66,65,94,118
Profit before tax,"2,102","2,564","2,956","2,766","3,380","3,269","3,349","2,778","3,557","6,054","6,856","7,081"
Tax %,34%,35%,35%,28%,28%,27%,18%,18%,19%,21%,21%,21%
Net Profit+,"1,386","1,661","1,931","2,002","2,431","2,402","2,734","2,287","2,891","4,765","5,429","5,595"
EPS in Rs,27.47,32.91,38.26,39.68,48.17,47.59,54.18,41.58,52.56,86.63,98.70,101.72
Dividend Payout %,18%,17%,16%,17%,16%,17%,16%,20%,16%,10%,10%,0%
