Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,406","4,709","5,077","5,082","5,659","5,158","4,329","6,140","7,744","8,959","10,339","12,143"
Expenses+,"3,674","3,934","4,276","4,345","4,795","4,567","3,729","5,260","6,502","7,197","8,271","9,548"
Operating Profit,732,775,802,738,864,590,600,880,"1,243","1,761","2,068","2,595"
OPM %,17%,16%,16%,15%,15%,11%,14%,14%,16%,20%,20%,21%
Other Income+,287,226,208,279,293,308,349,425,406,566,626,670
Interest,1,10,17,15,16,20,16,12,16,27,15,12
Depreciation,80,81,85,94,110,119,126,134,140,158,183,199
Profit before tax,937,910,908,908,"1,030",759,808,"1,159","1,492","2,143","2,496","3,054"
Tax %,16%,17%,19%,22%,30%,17%,24%,24%,24%,23%,24%,24%
Net Profit+,786,754,735,708,723,629,618,887,"1,130","1,661","1,906","2,330"
EPS in Rs,28.35,27.21,26.50,25.56,26.07,22.70,22.29,31.99,40.76,59.91,68.75,84.06
Dividend Payout %,49%,51%,53%,59%,65%,62%,67%,58%,61%,63%,75%,79%
