Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,681","4,861","4,851","5,170","5,971","5,853","6,337","7,500","7,478","7,002","7,581","9,402"
Expenses+,"4,006","4,032","3,894","4,255","4,961","4,733","5,183","6,317","6,169","5,596","6,132","7,961"
Operating Profit,676,829,957,915,"1,010","1,120","1,154","1,183","1,309","1,406","1,449","1,441"
OPM %,14%,17%,20%,18%,17%,19%,18%,16%,18%,20%,19%,15%
Other Income+,127,191,262,114,301,287,286,357,328,135,591,987
Interest,17,15,13,8,24,33,22,30,36,32,23,27
Depreciation,55,69,64,67,104,113,107,97,109,107,123,142
Profit before tax,731,936,"1,142",954,"1,183","1,261","1,311","1,413","1,492","1,402","1,894","2,259"
Tax %,25%,26%,26%,25%,5%,20%,16%,18%,21%,23%,19%,14%
Net Profit+,545,691,843,718,"1,129","1,007","1,106","1,163","1,179","1,078","1,541","1,941"
EPS in Rs,4.23,5.36,6.53,5.56,8.75,7.80,8.56,9.00,9.12,8.33,11.90,14.95
Dividend Payout %,30%,79%,54%,76%,54%,86%,87%,103%,49%,114%,88%,27%
