Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,420","5,340","5,291","5,592","6,273","6,310","7,185","8,180","8,684","9,136","9,071","9,383"
Expenses+,"4,480","4,242","4,178","4,360","4,906","4,927","5,626","6,445","6,984","7,295","7,363","7,602"
Operating Profit,940,"1,098","1,112","1,232","1,367","1,383","1,559","1,734","1,701","1,840","1,708","1,781"
OPM %,17%,21%,21%,22%,22%,22%,22%,21%,20%,20%,19%,19%
Other Income+,112,194,274,266,275,175,277,341,363,416,451,463
Interest,10,10,16,22,30,19,9,19,46,81,100,82
Depreciation,66,73,75,102,109,130,143,160,188,209,251,261
Profit before tax,977,"1,209","1,294","1,373","1,503","1,408","1,683","1,896","1,829","1,967","1,808","1,901"
Tax %,22%,22%,23%,22%,16%,17%,18%,24%,25%,23%,22%,22%
Net Profit+,763,937,998,"1,072","1,264","1,170","1,382","1,433","1,373","1,509","1,403","1,491"
EPS in Rs,4.34,5.33,5.67,6.09,7.16,6.62,7.82,8.11,7.75,8.52,7.92,8.41
Dividend Payout %,46%,42%,40%,123%,38%,45%,61%,64%,67%,65%,101%,98%
