Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"10,084","8,221","3,607","3,466","3,121","2,920","2,999","3,721","4,930","4,384","4,441","4,831"
Expenses+,"9,045","7,247","2,748","1,394","2,433","2,202","2,388","2,770","3,695","3,509","3,623","3,877"
Operating Profit,"1,039",974,858,"2,072",688,718,611,951,"1,235",875,818,954
OPM %,10%,12%,24%,60%,22%,25%,20%,26%,25%,20%,18%,20%
Other Income+,195,236,290,187,623,"6,478",219,293,301,485,352,365
Interest,187,215,101,87,86,43,19,19,26,49,144,219
Depreciation,193,154,130,127,140,150,197,222,245,295,369,428
Profit before tax,854,841,917,"2,046","1,085","7,003",614,"1,003","1,265","1,016",657,672
Tax %,25%,21%,24%,14%,21%,2%,22%,20%,19%,12%,15%,10%
Net Profit+,638,666,693,"1,767",855,"6,840",479,802,"1,027",896,557,606
EPS in Rs,25.04,26.15,27.19,69.35,33.55,268.45,18.80,31.48,40.31,35.16,21.86,23.78
Dividend Payout %,50%,38%,40%,32%,37%,4%,53%,40%,43%,43%,50%,46%
