Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"39,501","27,133","24,616","30,599","38,395","35,452","26,023","43,169","59,899","52,728","50,980","43,495"
Expenses+,"38,062","25,547","22,024","27,285","35,101","31,462","21,323","37,915","55,043","47,518","45,455","38,157"
Operating Profit,"1,439","1,586","2,592","3,314","3,294","3,990","4,700","5,254","4,856","5,210","5,525","5,338"
OPM %,4%,6%,11%,11%,9%,11%,18%,12%,8%,10%,11%,12%
Other Income+,155,173,347,316,450,300,388,306,574,613,815,895
Interest,293,239,210,163,99,403,336,317,331,290,258,237
Depreciation,315,322,369,412,411,776,784,768,764,777,806,838
Profit before tax,985,"1,199","2,360","3,055","3,234","3,111","3,968","4,474","4,335","4,757","5,275","5,158"
Tax %,10%,24%,28%,32%,33%,13%,26%,25%,25%,26%,26%,25%
Net Profit+,883,913,"1,706","2,078","2,155","2,698","2,949","3,352","3,240","3,536","3,926","3,843"
EPS in Rs,5.88,6.09,11.37,13.85,14.37,17.98,19.66,22.35,21.60,23.57,26.18,25.62
Dividend Payout %,17%,21%,22%,32%,70%,70%,58%,51%,46%,42%,38%,12%
