Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"27,585","28,443","28,500","32,230","33,651","28,836","30,801","29,245","33,806","37,456","40,756","46,830"
Expenses+,"24,020","23,962","23,857","26,941","28,714","24,869","26,777","25,866","29,815","32,194","34,885","39,959"
Operating Profit,"3,565","4,481","4,644","5,289","4,937","3,967","4,024","3,379","3,991","5,261","5,872","6,871"
OPM %,13%,16%,16%,16%,15%,14%,13%,12%,12%,14%,14%,15%
Other Income+,315,396,513,517,685,"1,447",575,547,560,727,"1,052",922
Interest,11,5,6,6,9,22,22,26,20,18,20,23
Depreciation,540,438,493,556,602,818,677,650,657,711,776,798
Profit before tax,"3,329","4,435","4,658","5,244","5,011","4,574","3,900","3,250","3,875","5,258","6,128","6,972"
Tax %,28%,29%,28%,30%,32%,21%,24%,24%,25%,25%,25%,24%
Net Profit+,"2,386","3,160","3,377","3,697","3,385","3,633","2,964","2,473","2,911","3,968","4,610","5,268"
EPS in Rs,119.47,158.25,169.11,185.14,169.47,181.90,148.37,123.77,145.65,198.48,230.49,263.29
Dividend Payout %,50%,46%,50%,51%,51%,49%,71%,77%,69%,71%,72%,70%
