Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,659,711,700,706,910,972,"1,137","1,422","1,516"
Expenses+,383,450,413,409,486,551,632,770,833
Operating Profit,276,261,287,296,424,421,505,652,683
OPM %,42%,37%,41%,42%,47%,43%,44%,46%,45%
Other Income+,-2,1,21,30,17,27,41,53,51
Interest,8,10,10,8,7,8,8,8,7
Depreciation,40,50,51,43,52,60,70,78,99
Profit before tax,227,201,247,274,383,380,467,619,629
Tax %,35%,35%,30%,25%,25%,25%,25%,25%,25%
Net Profit+,146,131,172,205,287,285,351,465,472
EPS in Rs,5.99,5.35,7.05,8.41,11.74,11.64,14.39,19.03,19.20
Dividend Payout %,66%,84%,35%,150%,66%,65%,65%,76%,39%
