Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"8,069","9,158","9,607","10,270","12,258","13,371","15,824","11,287","8,457","10,646","10,933","11,172"
Expenses+,"5,816","6,705","7,215","7,600","9,838","10,670","11,704","9,783","6,952","8,422","8,376","8,080"
Operating Profit,"2,253","2,453","2,392","2,670","2,420","2,700","4,120","1,504","1,505","2,224","2,558","3,092"
OPM %,28%,27%,25%,26%,20%,20%,26%,13%,18%,21%,23%,28%
Other Income+,65,187,118,81,189,386,590,565,429,670,328,570
Interest,132,229,45,53,231,243,29,17,75,183,230,213
Depreciation,245,263,286,355,413,473,488,415,243,255,297,285
Profit before tax,"1,940","2,148","2,179","2,343","1,965","2,370","4,193","1,637","1,616","2,457","2,358","3,164"
Tax %,22%,24%,22%,23%,22%,21%,26%,11%,24%,20%,26%,24%
Net Profit+,"1,516","1,627","1,707","1,813","1,530","1,877","3,113","1,455","1,227","1,954","1,747","2,415"
EPS in Rs,25.96,27.80,29.13,30.94,26.11,32.03,53.13,24.83,20.94,33.35,30.08,41.58
Dividend Payout %,9%,9%,9%,8%,10%,9%,8%,36%,36%,13%,0%,0%
