Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,024","2,268","2,402","2,584","2,780","2,743","1,133","2,003","3,704","4,406","4,917","5,380"
Expenses+,"1,665","1,838","1,882","1,955","2,051","1,982","1,230","1,615","2,315","2,693","2,885","3,097"
Operating Profit,359,430,520,629,729,761,-97,388,"1,390","1,712","2,032","2,283"
OPM %,18%,19%,22%,24%,26%,28%,-9%,19%,38%,39%,41%,42%
Other Income+,-150,92,92,0,16,118,-45,92,85,113,212,682
Interest,89,243,198,193,159,238,295,304,128,115,100,100
Depreciation,118,126,151,151,169,204,204,203,208,228,257,278
Profit before tax,2,153,262,284,418,438,-640,-27,"1,139","1,483","1,887","2,588"
Tax %,"4,463%",45%,45%,48%,37%,8%,-18%,27%,26%,26%,25%,22%
Net Profit+,-82,84,143,148,264,401,-525,-34,843,"1,095","1,413","2,012"
EPS in Rs,-0.76,0.64,1.09,1.12,2.00,3.04,-3.97,-0.24,5.94,7.69,9.93,14.13
Dividend Payout %,0%,35%,24%,32%,23%,15%,-9%,-165%,17%,23%,23%,23%
