Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,790","7,353","7,271","6,938","8,161","8,735","8,507","8,309","9,316","8,396","8,994","10,328"
Expenses+,"2,879","3,322","3,466","3,174","2,877","3,529","3,709","4,876","4,060","4,090","4,353","5,961"
Operating Profit,"3,911","4,031","3,805","3,764","5,285","5,207","4,798","3,433","5,256","4,306","4,642","4,367"
OPM %,58%,55%,52%,54%,65%,60%,56%,41%,56%,51%,52%,42%
Other Income+,"1,521","1,072","2,191","1,453",945,823,931,"1,035",853,"1,827","1,631","2,283"
Interest,"1,180","1,114","1,132",943,895,876,575,566,525,749,"1,147","1,409"
Depreciation,"1,426","1,359","1,388","1,396","1,590","1,545","1,229","1,126","1,145","1,111","1,125","1,890"
Profit before tax,"2,826","2,630","3,475","2,879","3,745","3,608","3,925","2,776","4,439","4,273","4,000","3,352"
Tax %,25%,29%,20%,4%,30%,17%,17%,-27%,14%,13%,23%,-8%
Net Profit+,"2,124","1,879","2,796","2,769","2,631","3,007","3,245","3,538","3,834","3,722","3,084","3,618"
EPS in Rs,1.92,1.70,2.72,2.70,2.62,2.99,3.23,3.52,3.82,3.71,3.07,3.60
Dividend Payout %,31%,88%,66%,52%,56%,50%,50%,51%,48%,51%,62%,45%
