Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,017","3,622","3,703","3,056","3,295","2,370","3,929","4,054","3,979","3,243","4,482","3,984"
Expenses+,"1,381","2,112","2,147","1,982","2,067","1,922","2,399","2,234","2,038","2,195","3,214","2,253"
Operating Profit,"1,636","1,509","1,556","1,074","1,228",448,"1,530","1,819","1,941","1,048","1,268","1,731"
OPM %,54%,42%,42%,35%,37%,19%,39%,45%,49%,32%,28%,43%
Other Income+,"1,041","1,700",659,627,403,"3,705",505,368,"1,194",835,"1,218","2,970"
Interest,"1,403","1,385","1,236","1,023",740,590,575,436,321,286,337,141
Depreciation,56,75,99,132,125,96,83,77,76,70,73,70
Profit before tax,"1,218","1,750",880,545,766,"3,466","1,378","1,675","2,739","1,527","2,075","4,491"
Tax %,23%,14%,32%,33%,10%,35%,24%,20%,16%,18%,24%,17%
Net Profit+,940,"1,497",597,365,688,"2,264","1,053","1,335","2,311","1,251","1,580","3,748"
EPS in Rs,5.28,8.39,3.34,2.05,3.12,9.15,4.26,5.39,9.34,5.05,6.38,15.14
Dividend Payout %,38%,24%,60%,98%,64%,22%,47%,56%,43%,99%,94%,53%
