Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"73,578","85,864","92,693","97,356","123,170","131,306","135,963","160,341","190,354","202,359","214,853","220,938"
Expenses+,"52,550","58,810","65,604","69,551","88,206","93,953","95,653","114,096","139,357","146,512","156,924","158,689"
Operating Profit,"21,028","27,054","27,089","27,805","34,964","37,353","40,310","46,245","50,997","55,847","57,929","62,249"
OPM %,29%,32%,29%,29%,28%,28%,30%,29%,27%,28%,27%,28%
Other Income+,"4,995","3,757","4,568","5,803","7,627","8,082","4,182","7,486","5,328","6,315","9,642","5,969"
Interest,80,13,16,30,170,743,537,486,695,673,703,"1,124"
Depreciation,"1,394","1,459","1,575","1,647","1,716","2,701","3,053","3,522","3,940","3,887","4,220","4,288"
Profit before tax,"24,550","29,339","30,066","31,931","40,705","41,991","40,902","49,723","51,690","57,602","62,648","62,806"
Tax %,22%,21%,21%,21%,26%,21%,24%,23%,24%,24%,23%,22%
Net Profit+,"19,257","23,075","23,653","25,241","30,065","33,260","30,960","38,187","39,106","43,559","48,057","49,096"
EPS in Rs,49.16,58.55,60.02,65.93,80.12,88.64,83.70,104.36,106.87,120.39,132.82,135.70
Dividend Payout %,80%,37%,39%,38%,37%,82%,45%,41%,108%,61%,95%,81%
