Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,361","1,149","1,223","1,243","1,488","1,253","1,230","1,270","1,542","1,207","1,416","1,382","1,903"
Expenses+,"1,065",963,"1,016","1,045","1,207","1,044","1,024","1,049","1,243","1,028","1,160","1,142","1,517"
Operating Profit,296,186,208,198,281,209,206,222,300,180,256,240,386
OPM %,22%,16%,17%,16%,19%,17%,17%,17%,19%,15%,18%,17%,20%
Other Income+,5,13,8,8,10,12,13,8,11,15,12,-4,16
Interest,2,4,6,5,6,5,7,11,7,9,13,9,21
Depreciation,36,36,38,40,42,44,47,50,51,56,56,57,57
Profit before tax,264,160,171,161,243,172,165,169,252,130,200,170,323
Tax %,26%,26%,25%,25%,25%,26%,26%,26%,25%,26%,25%,25%,26%
Net Profit+,197,119,128,120,183,128,122,126,190,97,150,127,238
EPS in Rs,7.32,4.44,4.77,4.47,6.82,4.77,4.55,4.69,7.07,3.60,5.58,4.72,8.85
Raw PDF,,,,,,,,,,,,,
